,Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
32,PolyU-CBS,en,3,0.3571,0.1607,0.2321,0.3036,0.2579,0.1887,0.1118,0.625,0.75,0.8214
53,UoM&MMU,en,2,0.3393,0.1607,0.2857,0.3036,0.2252,0.1512,0.0962,0.5714,0.6607,0.75
30,PolyU-CBS,en,1,0.3214,0.1607,0.2679,0.2857,0.2321,0.1712,0.1034,0.625,0.7321,0.8214
8,CILS,en,3,0.375,0.1429,0.2321,0.2857,0.2679,0.2171,0.1375,0.5714,0.625,0.625
6,CILS,en,1,0.3571,0.1429,0.3036,0.3393,0.2966,0.2358,0.1457,0.5893,0.6071,0.6071
55,UoM&MMU,es,1,0.3214,0.1071,0.2857,0.3571,0.2123,0.1531,0.0899,0.5893,0.6786,0.7143
56,UoM&MMU,es,2,0.3571,0.1964,0.2679,0.3214,0.2391,0.1699,0.0979,0.5714,0.625,0.7143
57,UoM&MMU,es,3,0.3571,0.1607,0.25,0.2857,0.2093,0.1451,0.0839,0.5,0.5893,0.6964
58,UoM&MMU,pt,1,0.0893,0.0179,0.0357,0.0536,0.0635,0.0576,0.0344,0.1786,0.2321,0.3571
59,UoM&MMU,pt,2,0.1071,0.0357,0.0536,0.0714,0.0704,0.0553,0.0338,0.1964,0.25,0.2857
60,UoM&MMU,pt,3,0.0893,0.0357,0.0357,0.0893,0.0784,0.0604,0.0348,0.25,0.2857,0.3214
11,Cental,en,2,0.4464,0.125,0.25,0.3393,0.3016,0.221,0.1385,0.6607,0.7143,0.7857
19,GMU-WLV,en,2,0.3036,0.1071,0.1786,0.3214,0.1954,0.1639,0.1255,0.6071,0.7679,0.9107
31,PolyU-CBS,en,2,0.25,0.1071,0.1429,0.1964,0.1637,0.1355,0.0798,0.5,0.625,0.7679
64,mTLS,es,tsar-es-mTLS,0.5357,0.2857,0.3929,0.4821,0.379,0.2852,0.1685,0.75,0.8036,0.9107
65,mTLS,pt,tsar-pt-mTLS,0.6607,0.4464,0.5536,0.5714,0.4216,0.294,0.1842,0.8214,0.9107,0.9464
40,PresiUniv,en,2,0.2679,0.0893,0.1071,0.125,0.123,0.0786,0.0393,0.2679,0.2679,0.2679
10,Cental,en,1,0.2143,0.0893,0.1429,0.1429,0.1022,0.0727,0.047,0.2857,0.3214,0.3214
69,twinfalls,en,1,0.2143,0.0714,0.1071,0.125,0.121,0.0899,0.0553,0.3393,0.4464,0.5714
70,twinfalls,en,2,0.1429,0.0714,0.0714,0.1429,0.0992,0.0792,0.048,0.3036,0.3393,0.4286
28,NU HLT,en,1,0.1071,0.0357,0.1071,0.1071,0.0694,0.044,0.022,0.2143,0.2321,0.2321
71,twinfalls,en,3,0.0714,0,0.0536,0.0536,0.0536,0.0393,0.0241,0.1607,0.25,0.3929
